,movieId,count
0,356,329
1,318,317
2,296,307
3,593,279
4,2571,278
5,260,251
6,480,238
7,110,237
8,589,224
9,527,220
10,2959,218
11,1,215
12,1196,211
13,2858,204
14,50,204
15,47,203
16,780,202
17,150,201
18,1198,200
19,4993,198
20,1210,196
21,858,192
22,457,190
23,592,189
24,5952,188
25,2028,188
26,7153,185
27,588,183
28,608,181
29,2762,179
30,380,178
31,32,177
32,364,172
33,1270,171
34,377,171
35,4306,170
36,3578,170
37,1580,165
38,590,164
39,648,162
40,344,161
41,4226,159
42,367,157
43,6539,149
44,58559,149
45,595,146
46,1214,146
47,1036,145
48,500,144
49,165,144
50,79132,143
51,1265,143
52,1197,142
53,6377,141
54,1704,141
55,2628,140
56,1291,140
57,1721,140
58,316,140
59,153,137
60,1136,136
61,597,135
62,293,133
63,1193,133
64,3793,133
65,231,133
66,4886,132
67,10,132
68,6874,131
69,1089,131
70,7361,131
71,1240,131
72,1221,129
73,2329,129
74,34,128
75,1213,126
76,1200,126
77,1682,125
78,8961,125
79,541,124
80,736,123
81,4995,123
82,1097,122
83,5349,122
84,2683,121
85,733,121
86,1206,120
87,5445,120
88,4973,120
89,2716,120
90,1073,119
91,4963,119
92,33794,116
93,586,116
94,1527,116
95,5989,115
96,587,115
97,208,115
98,1968,113
99,5418,112
100,185,112
101,3147,111
102,3996,110
103,2,110
104,7438,110
105,349,110
106,253,109
107,1258,109
108,4878,109
109,924,109
110,2918,109
111,329,108
112,2115,108
113,1208,107
114,48516,107
115,4896,107
116,539,106
117,1732,106
118,1923,105
119,68954,105
120,60069,104
121,223,104
122,111,104
123,39,104
124,357,103
125,2706,103
126,161,103
127,778,102
128,1222,102
129,6,102
130,5816,102
131,454,101
132,292,101
133,434,101
134,1517,100
135,44191,100
136,912,100
137,4022,100
138,104,99
139,2997,99
140,339,98
141,750,97
142,3114,97
143,1617,97
144,72998,97
145,2987,97
146,6365,96
147,3949,96
148,1961,96
149,1784,96
150,4027,94
151,59315,94
152,2502,94
153,4011,93
154,551,93
155,8368,93
156,288,92
157,5378,92
158,2396,92
159,2355,92
160,919,92
161,1917,92
162,8360,92
163,1259,91
164,3948,91
165,2797,91
166,1356,91
167,2174,91
168,1387,91
169,1610,90
170,48780,90
171,1080,89
172,21,89
173,2012,88
174,19,88
175,68157,88
176,2324,88
177,2916,88
178,2617,87
179,5618,87
180,2011,87
181,2791,87
182,141,86
183,1246,86
184,1391,86
185,1653,86
186,5218,85
187,1307,85
188,1393,85
189,32587,84
190,1220,84
191,904,84
192,95,84
193,410,84
194,3897,83
195,1101,83
196,1219,83
197,1584,82
198,16,82
199,788,82
200,48394,81
201,442,81
202,317,81
203,300,81
